device_id,model,battery_level,battery_status,cleaning_mode,noise_level,suction_power,navigation_type,carpet_detection,dust_container_status
V001,RoboSweep X200,78,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,75%
V002,RoboSweep X150,52,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,30%
V003,RoboSweep X200,81,>75%,Karpet,68,2500,LiDAR + vSLAM,Ada,55%
V004,RoboSweep X150,23,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,90%
V005,RoboSweep X200,62,50-75%,Standar,55,2500,LiDAR + vSLAM,Ada,45%
V006,RoboSweep X150,29,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,85%
V007,RoboSweep X200,18,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,25%
V008,RoboSweep X150,93,>75%,Senyap,50,2000,Giroskop,Tidak Ada,60%
V009,RoboSweep X200,44,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,15%
V010,RoboSweep X150,58,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,70%
V011,RoboSweep X200,87,>75%,Karpet,68,2500,LiDAR + vSLAM,Ada,40%
V012,RoboSweep X150,32,25-50%,Senyap,50,2000,Giroskop,Tidak Ada,80%
V013,RoboSweep X200,69,50-75%,Standar,55,2500,LiDAR + vSLAM,Ada,35%
V014,RoboSweep X150,15,<25% - Segera Isi Daya,Maksimal,65,2000,Giroskop,Tidak Ada,65%
V015,RoboSweep X200,76,>75%,Karpet,68,2500,LiDAR + vSLAM,Ada,20%
V016,RoboSweep X150,41,25-50%,Senyap,50,2000,Giroskop,Tidak Ada,95%
V017,RoboSweep X200,83,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,50%
V018,RoboSweep X150,27,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,10%
V019,RoboSweep X200,64,50-75%,Karpet,68,2500,LiDAR + vSLAM,Ada,75%
V020,RoboSweep X150,12,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,30%
V021,RoboSweep X200,94,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,55%
V022,RoboSweep X150,35,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,90%
V023,RoboSweep X200,72,50-75%,Karpet,68,2500,LiDAR + vSLAM,Ada,45%
V024,RoboSweep X150,19,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,85%
V025,RoboSweep X200,89,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,25%
V026,RoboSweep X150,48,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,60%
V027,RoboSweep X200,67,50-75%,Karpet,68,2500,LiDAR + vSLAM,Ada,15%
V028,RoboSweep X150,21,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,70%
V029,RoboSweep X200,91,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,40%
V030,RoboSweep X150,53,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,80%
V031,RoboSweep X200,37,25-50%,Karpet,68,2500,LiDAR + vSLAM,Ada,35%
V032,RoboSweep X150,86,>75%,Senyap,50,2000,Giroskop,Tidak Ada,65%
V033,RoboSweep X200,25,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,20%
V034,RoboSweep X150,61,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,95%
V035,RoboSweep X200,14,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,50%
V036,RoboSweep X150,84,>75%,Senyap,50,2000,Giroskop,Tidak Ada,10%
V037,RoboSweep X200,44,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,75%
V038,RoboSweep X150,73,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,30%
V039,RoboSweep X200,17,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,55%
V040,RoboSweep X150,92,>75%,Senyap,50,2000,Giroskop,Tidak Ada,90%
V041,RoboSweep X200,57,50-75%,Standar,55,2500,LiDAR + vSLAM,Ada,45%
V042,RoboSweep X150,31,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,85%
V043,RoboSweep X200,11,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,25%
V044,RoboSweep X150,79,>75%,Senyap,50,2000,Giroskop,Tidak Ada,60%
V045,RoboSweep X200,47,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,15%
V046,RoboSweep X150,65,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,70%
V047,RoboSweep X200,22,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,40%
V048,RoboSweep X150,88,>75%,Senyap,50,2000,Giroskop,Tidak Ada,80%
V049,RoboSweep X200,54,50-75%,Standar,55,2500,LiDAR + vSLAM,Ada,35%
V050,RoboSweep X150,28,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,65%
V051,RoboSweep X200,96,>75%,Karpet,68,2500,LiDAR + vSLAM,Ada,20%
V052,RoboSweep X150,13,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,95%
V053,RoboSweep X200,77,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,50%
V054,RoboSweep X150,42,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,10%
V055,RoboSweep X200,68,50-75%,Karpet,68,2500,LiDAR + vSLAM,Ada,75%
V056,RoboSweep X150,16,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,30%
V057,RoboSweep X200,95,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,55%
V058,RoboSweep X150,36,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,90%
V059,RoboSweep X200,71,50-75%,Karpet,68,2500,LiDAR + vSLAM,Ada,45%
V060,RoboSweep X150,20,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,85%
V061,RoboSweep X200,90,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,25%
V062,RoboSweep X150,49,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,60%
V063,RoboSweep X200,66,50-75%,Karpet,68,2500,LiDAR + vSLAM,Ada,15%
V064,RoboSweep X150,22,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,70%
V065,RoboSweep X200,82,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,40%
V066,RoboSweep X150,55,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,80%
V067,RoboSweep X200,38,25-50%,Karpet,68,2500,LiDAR + vSLAM,Ada,35%
V068,RoboSweep X150,87,>75%,Senyap,50,2000,Giroskop,Tidak Ada,65%
V069,RoboSweep X200,26,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,20%
V070,RoboSweep X150,62,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,95%
V071,RoboSweep X200,15,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,50%
V072,RoboSweep X150,85,>75%,Senyap,50,2000,Giroskop,Tidak Ada,10%
V073,RoboSweep X200,45,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,75%
V074,RoboSweep X150,74,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,30%
V075,RoboSweep X200,18,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,55%
V076,RoboSweep X150,93,>75%,Senyap,50,2000,Giroskop,Tidak Ada,90%
V077,RoboSweep X200,58,50-75%,Standar,55,2500,LiDAR + vSLAM,Ada,45%
V078,RoboSweep X150,32,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,85%
V079,RoboSweep X200,12,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,25%
V080,RoboSweep X150,80,>75%,Senyap,50,2000,Giroskop,Tidak Ada,60%
V081,RoboSweep X200,48,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,15%
V082,RoboSweep X150,66,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,70%
V083,RoboSweep X200,23,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,40%
V084,RoboSweep X150,89,>75%,Senyap,50,2000,Giroskop,Tidak Ada,80%
V085,RoboSweep X200,55,50-75%,Standar,55,2500,LiDAR + vSLAM,Ada,35%
V086,RoboSweep X150,29,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,65%
V087,RoboSweep X200,97,>75%,Karpet,68,2500,LiDAR + vSLAM,Ada,20%
V088,RoboSweep X150,14,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,95%
V089,RoboSweep X200,78,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,50%
V090,RoboSweep X150,43,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,10%
V091,RoboSweep X200,69,50-75%,Karpet,68,2500,LiDAR + vSLAM,Ada,75%
V092,RoboSweep X150,17,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,30%
V093,RoboSweep X200,96,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,55%
V094,RoboSweep X150,37,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,90%
V095,RoboSweep X200,72,50-75%,Karpet,68,2500,LiDAR + vSLAM,Ada,45%
V096,RoboSweep X150,21,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,85%
V097,RoboSweep X200,91,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,25%
V098,RoboSweep X150,50,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,60%
V099,RoboSweep X200,67,50-75%,Karpet,68,2500,LiDAR + vSLAM,Ada,15%
V100,RoboSweep X150,23,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,70%
